"","root-EOD-Arabidopsis-1-451-3-R","root-EOD-Arabidopsis-2-452-3-R","root-EOD-Arabidopsis-3-453-3-R","root-EOD-Arabidopsis-4-454-3-R","root-EOD-Arabidopsis-5-455-3-R","root-EOD-Arabidopsis-6-456-3-R","root-EOD-Brachy-1-433-3-R","root-EOD-Brachy-2-434-3-R","root-EOD-Brachy-3-436-3-R","root-EOD-Brachy-4-437-3-R","root-EOD-Brachy-5-438-3-R","root-EOD-Brachy-6-439-3-R","root-EOD-Medicago-1-442-3a-R","root-EOD-Medicago-2-442-3b-R","root-EOD-Medicago-3-444-3a-R","root-EOD-Medicago-4-449-3a-R","root-EOD-Medicago-5-449-3b-R","root-EON-Arabidopsis-1-451-4-R","root-EON-Arabidopsis-2-452-4-R","root-EON-Arabidopsis-3-453-4-R","root-EON-Arabidopsis-4-454-4-R","root-EON-Arabidopsis-5-455-4-R","root-EON-Arabidopsis-6-456-4-R","root-EON-Brachy-1-433-4-R","root-EON-Brachy-2-434-4-R","root-EON-Brachy-3-436-4-R","root-EON-Brachy-4-437-4-R","root-EON-Brachy-5-438-4-R","root-EON-Brachy-6-439-4-R","root-EON-Medicago-1-442-4c-R","root-EON-Medicago-2-444-4b-R","root-EON-Medicago-3-444-4c-R","root-EON-Medicago-4-449-4c-R","shoot-EOD-Arabidopsis-1-451-3-S","shoot-EOD-Arabidopsis-2-452-3-S","shoot-EOD-Arabidopsis-3-453-3-S","shoot-EOD-Arabidopsis-4-454-3-S","shoot-EOD-Arabidopsis-5-455-3-S","shoot-EOD-Arabidopsis-6-456-3-S","shoot-EOD-Brachy-1-433-3-S","shoot-EOD-Brachy-2-434-3-S","shoot-EOD-Brachy-3-436-3-S","shoot-EOD-Brachy-4-437-3-S","shoot-EOD-Brachy-5-438-3-S","shoot-EOD-Brachy-6-439-3-S","shoot-EOD-Medicago-1-442-3a-S","shoot-EOD-Medicago-2-442-3b-S","shoot-EOD-Medicago-3-444-3a-S","shoot-EOD-Medicago-4-449-3a-S","shoot-EOD-Medicago-5-449-3b-S","shoot-EON-Arabidopsis-1-451-4-S","shoot-EON-Arabidopsis-2-452-4-S","shoot-EON-Arabidopsis-3-453-4-S","shoot-EON-Arabidopsis-4-454-4-S","shoot-EON-Arabidopsis-5-455-4-S","shoot-EON-Arabidopsis-6-456-4-S","shoot-EON-Brachy-1-433-4-S","shoot-EON-Brachy-2-434-4-S","shoot-EON-Brachy-3-436-4-S","shoot-EON-Brachy-5-438-4-S","shoot-EON-Brachy-6-439-4-S","shoot-EON-Medicago-1-442-4c-S","shoot-EON-Medicago-2-444-4b-S","shoot-EON-Medicago-3-444-4c-S","shoot-EON-Medicago-4-449-4c-S"
"hydroxycinnamic acid",4731818.19036865,38939344.1903687,35869352.1903687,6385544.19036865,35177340.1903687,44290276.1903687,6026126.69036865,15926621.1903687,19782016.1903687,5737322.69036865,5532103.19036865,21412046.1903687,9313090.19036865,7709472.69036865,12186937.1903687,9006711.19036865,10575172.1903687,6332207.69036865,5293899.19036865,21104452.1903687,7018516.69036865,5684388.69036865,45256332.1903687,5614268.19036865,21768770.1903687,6049543.19036865,20948882.1903687,26983532.1903687,6333187.69036865,11496695.1903687,2946349.69036865,5450159.69036865,2584715.69036865,48166476.1903687,9342740.19036865,45936428.1903687,7350622.19036865,42260168.1903687,8239797.69036865,11200426.1903687,8711887.19036865,65454368.1903687,11684584.1903687,85573720.1903687,11066694.1903687,4112759.19036865,16956484.1903687,18230324.1903687,3918056.44036865,19198970.1903687,5351420.69036865,7724477.69036865,38778396.1903687,46423224.1903687,29769400.1903687,6515587.19036865,11819286.1903687,14008149.1903687,97192192.1903687,107464920.190369,67356720.1903687,19173692.1903687,13928490.1903687,19722106.1903687,4206442.69036865
"hypoxanthine",146663.76940918,586873.69128418,396494.06628418,246153.78503418,422945.16003418,723008.37878418,26387.3670654297,93547.5350341797,49814.0233154297,26069.3006591797,54743.8553466797,69098.1209716797,139196.17565918,67337.6444091797,123807.64440918,167486.41003418,175493.26940918,171018.53503418,127365.03503418,284443.72253418,392777.78503418,255022.03503418,148761.55065918,23246.8514404297,97649.5272216797,98926.6756591797,88545.2459716797,51040.3397216797,47588.7342529297,122046.75378418,53491.5819091797,57961.6365966797,40015.5272216797,717786.44128418,527275.87878418,1009110.75378418,495729.19128418,771947.62878418,557339.81628418,4518773.31628418,2760452.81628418,4450446.81628418,2005426.56628418,3931074.06628418,2118552.31628418,179870.28503418,240060.25378418,264951.34753418,277411.37878418,460941.56628418,689148.37878418,570545.37878418,1049714.31628418,1044783.06628418,668786.69128418,511717.81628418,3398236.06628418,4805259.31628418,7688454.81628418,6383805.81628418,3559308.56628418,479569.69128418,295226.44128418,214659.51940918,173772.73815918
"indole-3-acetic acid",58628023.359375,7511779.359375,60621835.359375,850325.734375,2902887.859375,6729419.359375,221627167.359375,180653391.359375,232435183.359375,211387615.359375,459343135.359375,232459871.359375,273733663.359375,199275455.359375,296360607.359375,354762463.359375,323998431.359375,218545695.359375,45003519.359375,62211035.359375,6978366.859375,43949655.359375,223449663.359375,127877679.359375,46055419.359375,86569831.359375,121210399.359375,230596079.359375,68776783.359375,159773487.359375,191059551.359375,110351711.359375,220357247.359375,222566399.359375,100651783.359375,130858127.359375,14335779.359375,15953868.359375,229991087.359375,873365439.359375,492153215.359375,869579775.359375,787647743.359375,849797439.359375,880476735.359375,479169343.359375,413886975.359375,362812735.359375,450758015.359375,483284543.359375,68508639.359375,32905043.359375,45399395.359375,55347187.359375,142518207.359375,110688271.359375,266819343.359375,313928191.359375,236613487.359375,579891967.359375,204301151.359375,193336607.359375,128327343.359375,257212191.359375,199651055.359375
"inosine",548378.298583984,1022522.29858398,2296368.29858398,132016.486083984,456635.079833984,4558161.29858398,130026.079833984,317278.204833984,386285.642333984,118816.782958984,227812.329833984,381874.454833984,346863.611083984,163737.939208984,393263.954833984,466575.204833984,573633.423583984,488918.611083984,276962.486083984,943160.736083984,309321.267333984,420040.954833984,782031.611083984,74254.9470214844,200168.704833984,208841.845458984,263310.704833984,361645.673583984,152037.423583984,176915.204833984,28720.6267089844,89585.7360839844,66330.5173339844,7929984.79858398,2829008.04858398,7117317.79858398,1094524.04858398,2304179.54858398,4051176.04858398,3746425.29858398,3275217.04858398,8130592.79858398,1827266.17358398,7357121.29858398,3395289.29858398,910815.111083984,1572065.67358398,2028900.54858398,909723.173583984,2582878.29858398,1296697.17358398,717528.986083984,2540937.54858398,2031566.79858398,2164141.79858398,1188204.29858398,1818888.67358398,4713311.29858398,3965038.79858398,10062902.298584,3580336.54858398,1169382.54858398,1455607.67358398,1664382.67358398,486789.767333984
"isoleucine",12932.0484008789,37715.9575805664,17230.7251586914,19909.7544555664,31653.7212524414,37340.6333618164,35298.1216430664,56268.1567993164,59646.3833618164,66668.7310180664,56529.3911743164,106738.887268066,130376.777893066,127721.090393066,136144.051330566,234990.691955566,190691.145080566,18654.8442993164,15007.2769165039,22288.5337524414,17208.7817993164,12189.3189086914,136011.098205566,47235.5864868164,109194.363830566,19541.5239868164,126839.879455566,81540.1060180664,45615.2622680664,119638.356018066,111018.816955566,64269.1802368164,57676.4419555664,101828.168518066,36331.3677368164,128321.129455566,43519.9185180664,114234.621643066,29021.6763305664,265126.520080566,79403.7935180664,1666745.45758057,124073.301330566,1186696.33258057,88358.0435180664,44859.2700805664,244492.613830566,329428.551330566,67407.0357055664,319346.176330566,58629.8560180664,39478.6060180664,134133.879455566,146029.098205566,130620.285705566,55635.6294555664,207651.613830566,230617.457580566,1313070.08258057,2340564.95758057,534611.082580566,297650.738830566,355144.863830566,127049.238830566,52981.3286743164
"isomer of deoxycarnitine",175877.941894531,720352.316894531,463548.754394531,503942.504394531,136164.191894531,1753786.25439453,81566.2543945312,102676.941894531,85211.4106445312,81590.8325195312,39412.4106445312,153496.770019531,14954.2856445312,21447.4887695312,217368.941894531,88405.8012695312,30104.6762695312,88890.1137695312,108990.395019531,161518.848144531,248866.598144531,174784.723144531,188470.879394531,93873.1606445312,207745.629394531,101319.895019531,83221.6606445312,14629.6840820312,157062.223144531,80132.4887695312,84567.0043945312,5073.66064453125,34770.8559570312,32315.1372070312,415281.504394531,916846.629394531,34020.8872070312,150723.988769531,146276.238769531,7351806.25439453,29764578.7543945,16337825.7543945,9450524.75439453,13175711.7543945,10605597.7543945,354572.660644531,303190.504394531,138828.066894531,460014.379394531,103596.707519531,417615.629394531,114895.066894531,117554.473144531,91223.8793945312,262609.910644531,192099.316894531,7857814.75439453,11522513.7543945,21053006.7543945,19538852.7543945,6098567.75439453,350116.566894531,1255387.50439453,218479.973144531,191377.160644531
"kynurenine",406643.422241211,493750.734741211,360175.515991211,250863.422241211,357071.172241211,496804.609741211,304536.078491211,318140.203491211,251560.515991211,261293.328491211,585371.047241211,292840.203491211,515447.859741211,461965.109741211,506415.172241211,671276.172241211,557394.859741211,520663.609741211,382362.140991211,504432.422241211,404895.703491211,464710.859741211,479997.672241211,190716.922241211,180052.781616211,303669.015991211,266034.922241211,285461.484741211,177847.828491211,432841.015991211,338044.984741211,265977.140991211,391446.390991211,6784861.54724121,3582669.29724121,9510981.04724121,2143908.54724121,3836809.79724121,3659495.29724121,491197.547241211,281608.203491211,755839.484741211,388400.297241211,1082582.42224121,484439.859741211,898985.859741211,894595.484741211,1888971.67224121,1146893.17224121,2104062.54724121,1735610.79724121,1875748.92224121,2097316.04724121,1290314.17224121,2650585.04724121,1385920.54724121,138717.328491211,182105.078491211,246297.672241211,693162.984741211,191890.125366211,665319.234741211,696692.984741211,683820.609741211,675243.109741211
"leucine and/or norleucine",406643.422241211,493750.734741211,360175.515991211,250863.422241211,357071.172241211,496804.609741211,304536.078491211,318140.203491211,251560.515991211,261293.328491211,585371.047241211,292840.203491211,515447.859741211,461965.109741211,506415.172241211,671276.172241211,557394.859741211,520663.609741211,382362.140991211,504432.422241211,404895.703491211,464710.859741211,479997.672241211,190716.922241211,180052.781616211,303669.015991211,266034.922241211,285461.484741211,177847.828491211,432841.015991211,338044.984741211,265977.140991211,391446.390991211,6784861.54724121,3582669.29724121,9510981.04724121,2143908.54724121,3836809.79724121,3659495.29724121,491197.547241211,281608.203491211,755839.484741211,388400.297241211,1082582.42224121,484439.859741211,898985.859741211,894595.484741211,1888971.67224121,1146893.17224121,2104062.54724121,1735610.79724121,1875748.92224121,2097316.04724121,1290314.17224121,2650585.04724121,1385920.54724121,138717.328491211,182105.078491211,246297.672241211,693162.984741211,191890.125366211,665319.234741211,696692.984741211,683820.609741211,675243.109741211
"lumichrome",48688.88671875,131416.4375,98807.0390625,98801.7421875,31676.53515625,362992.5,199708.515625,199004.5,187029.59375,201094.25,117918.5703125,229731.03125,59117.11328125,61715.25390625,112540.0859375,78950.71875,161947.109375,26599.646484375,45976.64453125,37414.6875,66120.1875,42738.875,255403.796875,200526.265625,265346.28125,70283.9140625,181964.421875,90890.265625,278086.375,95996.2109375,203996.78125,31544.85546875,54647.5234375,93126.3671875,258954.34375,452694.34375,84283.84375,156032.65625,307974.5,2834485.25,15711675,4615217.5,4348020.5,6055141.5,4294211.5,288443.4375,256316.65625,171059.578125,522938.625,138332.125,144033.609375,119406.4375,162511.046875,117676.53125,166600.46875,200196.78125,3934360.5,6237367.5,7309074.5,9012020,2858648.75,274197.5,1366710.5,187241.921875,232228.796875
"lysine",129.647094726562,534522.560180664,350485.810180664,0,390766.778930664,348971.185180664,0,214371.294555664,181467.232055664,0,18909.9332275391,0,322285.153930664,186963.372680664,0,109126.396118164,207338.310180664,0,0,238843.794555664,149.390258789062,0,394661.185180664,798.337524414062,219579.607055664,0,179115.622680664,177132.232055664,0,115572.419555664,0,56656.8765869141,148.951782226562,6291903.74768066,0,5193948.74768066,0,1929315.37268066,0,24863.1890869141,0,4258494.74768066,0,6315096.74768066,264725.935180664,9772.34338378906,200028.919555664,209035.825805664,3178.93322753906,198262.122680664,58579.5133056641,0,1034313.74768066,406315.403930664,588581.435180664,0,0,0,2777508.99768066,163265.028930664,1865921.12268066,58472.4820556641,142207.435180664,0,0
"maleamic acid",132699820.634277,471731196.634277,296574620.634277,138241740.634277,363653084.634277,423399356.634277,111883572.634277,173270476.634277,252108204.634277,92871460.6342773,153871244.634277,269100028.634277,79337260.6342773,59502892.6342773,67887692.6342773,88029028.6342773,96848508.6342773,215844204.634277,220891932.634277,418548348.634277,286278044.634277,213106396.634277,453293628.634277,94234204.6342773,210505772.634277,171083868.634277,161035244.634277,334914428.634277,112328532.634277,47031288.6342773,9209728.63427734,43365848.6342773,27886098.6342773,891150172.634277,532336444.634277,638500764.634277,641124188.634277,1236362012.63428,431939996.634277,104376564.634277,96584540.6342773,252598780.634277,100638692.634277,233037324.634277,114623396.634277,43029324.6342773,201950428.634277,102117740.634277,26506030.6342773,58084480.6342773,486098876.634277,482720284.634277,945909276.634277,1085213212.63428,1010709788.63428,459759260.634277,63150468.6342773,94614164.6342773,180026508.634277,197380876.634277,178267628.634277,58524432.6342773,60660132.6342773,37532656.6342773,17386138.6342773
"malonic acid",1278191.01171875,19698996.3867188,12557379.3867188,2593301.38671875,21738708.3867188,14931255.3867188,2728074.13671875,18610536.3867188,21719124.3867188,3061249.38671875,2539947.88671875,19776386.3867188,16766196.3867188,13322941.3867188,15547677.3867188,19347912.3867188,20010850.3867188,1378850.13671875,1694743.01171875,8834927.38671875,1714630.38671875,1483831.88671875,27214420.3867188,2696895.13671875,18430748.3867188,2106224.88671875,20516576.3867188,20903514.3867188,2900838.63671875,12478402.3867188,1696648.76171875,8942976.38671875,2007884.26171875,28434916.3867188,2187742.88671875,17817882.3867188,2589304.63671875,34832528.3867188,1935145.01171875,1578482.38671875,1781122.13671875,41913104.3867188,1815848.01171875,56761692.3867188,1335157.51171875,705908.94921875,26511920.3867188,15797020.3867188,882959.26171875,17367248.3867188,373026.23046875,639562.38671875,18659336.3867188,24305674.3867188,12061304.3867188,971638.63671875,1729129.88671875,1810026.88671875,51617212.3867188,56875128.3867188,36825720.3867188,11628381.3867188,6537963.88671875,7981273.88671875,797172.69921875
"methyl indole-3-acetic acid",832719.931945801,9176218.3694458,4459581.8694458,475627.025695801,5778327.3694458,20584169.3694458,184970.728820801,777694.369445801,683166.619445801,139020.041320801,94343.0491333008,1400941.8694458,3963189.6194458,1793777.4944458,2794426.8694458,3143039.3694458,5679159.3694458,983024.681945801,432629.963195801,5784217.8694458,980019.244445801,946920.994445801,8567437.3694458,113278.314758301,1513039.3694458,665622.181945801,1164809.8694458,2651027.3694458,207374.166320801,1988399.1194458,146830.181945801,1424221.9944458,377905.525695801,1341950.3694458,413424.619445801,6841298.3694458,244194.478820801,1310669.2444458,713378.244445801,2326436.3694458,5675318.3694458,15258994.3694458,3357393.8694458,20589361.3694458,2484589.1194458,173422.541320801,3303995.6194458,1792911.2444458,187479.041320801,1940580.7444458,684501.869445801,298973.181945801,2255130.3694458,2781061.8694458,2432404.1194458,334967.588195801,3484291.6194458,4569098.3694458,23716587.3694458,44321647.3694458,12713588.3694458,1716228.6194458,1127517.8694458,5872031.8694458,417688.963195801
"mevalonic acid",6970173.22949219,110480957.729492,50747337.7294922,15889196.7294922,138078261.729492,61257153.7294922,61678261.7294922,284629221.729492,318831781.729492,67965717.7294922,57753613.7294922,310901925.729492,920014757.729492,954919077.729492,1069661157.72949,858334501.729492,1078209189.72949,9481555.72949219,12193220.7294922,82744277.7294922,22340989.7294922,13699966.7294922,502685669.729492,60110909.7294922,308705477.729492,31253605.7294922,363464229.729492,321760997.729492,69391685.7294922,991504165.729492,128477045.729492,571072293.729492,140234821.729492,161932149.729492,49958545.7294922,142938981.729492,48731293.7294922,275405829.729492,22194491.7294922,79591941.7294922,62505213.7294922,410880965.729492,77771669.7294922,591056229.729492,61316749.7294922,104838941.729492,375987621.729492,1142868901.72949,129735853.729492,881387301.729492,29946789.7294922,43523373.7294922,187552965.729492,291511205.729492,161268581.729492,27903247.7294922,97121261.7294922,92914613.7294922,603281253.729492,627870693.729492,402550341.729492,581488485.729492,1454793253.72949,1006655653.72949,91547493.7294922
"N-acetyl-alanine",59365586.1894531,68158078.1894531,69760798.1894531,54945974.1894531,70367950.1894531,70789510.1894531,18686678.1894531,28502072.1894531,16020329.1894531,23235362.1894531,23068286.1894531,30032804.1894531,84050782.1894531,79378006.1894531,76120406.1894531,62222410.1894531,89960342.1894531,78557118.1894531,49497286.1894531,75264214.1894531,86070262.1894531,62819766.1894531,44749846.1894531,19625966.1894531,23039072.1894531,50825226.1894531,24346542.1894531,17029736.1894531,22269968.1894531,67391238.1894531,38824658.1894531,22249296.1894531,56523710.1894531,33155506.1894531,33327354.1894531,53810346.1894531,28271102.1894531,30798196.1894531,48805110.1894531,356721710.189453,183968222.189453,349504878.189453,227091598.189453,257443358.189453,193861998.189453,80175422.1894531,58151118.1894531,151490462.189453,116277574.189453,107833406.189453,50611718.1894531,29396080.1894531,33837918.1894531,52767226.1894531,57520274.1894531,52025234.1894531,280887758.189453,434101742.189453,378918606.189453,412148846.189453,232225582.189453,97407966.1894531,138075806.189453,126061574.189453,73800878.1894531
"N-acetyl-glutamic acid",218476.979736328,203233.245361328,314474.510986328,127725.307861328,121604.729736328,488943.385986328,46002.4172363281,37821.1203613281,59340.0969238281,62403.8312988281,81939.7375488281,58870.6750488281,192780.385986328,164957.120361328,177309.214111328,141889.339111328,213577.089111328,292420.979736328,165785.010986328,168822.620361328,193411.932861328,134897.385986328,130110.104736328,59552.6750488281,48781.9641113281,98318.3312988281,57830.9484863281,73171.6125488281,51069.7609863281,186908.698486328,113941.839111328,32677.0734863281,91050.5031738281,475553.635986328,317339.104736328,423387.667236328,379381.729736328,249438.229736328,370271.385986328,1504798.60473633,1176742.97973633,1213983.22973633,1684246.47973633,745326.792236328,1471663.10473633,166918.682861328,87464.3703613281,196033.464111328,163654.276611328,245601.542236328,464891.979736328,391944.510986328,342519.885986328,435156.292236328,651728.354736328,290521.854736328,1794040.85473633,1719961.10473633,1323356.47973633,1356408.60473633,663782.667236328,207191.792236328,311454.042236328,309141.198486328,85326.2141113281
"N-acetyl-hexosamine",411382.5625,524191.90625,320029.78125,202530.09375,221809.390625,646795.125,58137.3515625,67970.2265625,46680.1171875,64773.8984375,104824.4609375,76007.2421875,43718.2109375,15956.599609375,53141.91796875,33432.37109375,84998.3515625,290946.78125,329061.96875,342579.9375,296904.59375,268897.09375,167680.0625,54967.90625,69027.5,239928.25,66067.1796875,101620.9609375,75033.734375,45684.08984375,19197.98046875,13373.2626953125,45678.671875,436463.53125,774670.125,1311531.75,657653,595376.3125,742578.0625,233522.34375,673808.6875,110937.8125,298034.0625,137365.484375,376817.40625,179504.625,199404.796875,213496.265625,130446.8125,236666.265625,1484308.5,889065.9375,691944.375,485117.625,580061.75,635543.25,406844.5,428311.40625,128456.3046875,399515.625,358091.28125,185578.953125,229602.921875,238610.34375,155201.609375
"N-acetyl-serine and/or isomers",0,30486.6215820312,0,0,25025.1215820312,55709.0356445312,84511.5043945312,123914.863769531,91243.2231445312,121853.551269531,74832.0590820312,122372.973144531,635362.082519531,959366.957519531,238434.457519531,460612.926269531,635541.082519531,23136.4731445312,8165.42626953125,13274.1411132812,72443.7543945312,4552.96533203125,311960.957519531,168305.223144531,289912.707519531,31234.6840820312,213069.113769531,216275.598144531,204281.598144531,410013.520019531,181483.676269531,102602.816894531,266410.176269531,239933.926269531,732794.145019531,366135.957519531,921307.520019531,577001.895019531,317152.738769531,787763.082519531,1002857.95751953,1007266.64501953,1534354.14501953,735975.770019531,1209103.89501953,391661.395019531,188217.863769531,715878.895019531,507557.707519531,1097134.14501953,247789.270019531,827265.707519531,1446499.27001953,1328064.64501953,351623.988769531,600472.582519531,1427928.77001953,815110.145019531,1147189.27001953,820004.020019531,1131244.52001953,818151.707519531,2619236.64501953,688592.520019531,197868.988769531
"N-acetylneuraminic acid",7883936.93603516,6392201.93603516,9488661.93603516,2594039.68603516,4407031.43603516,8472942.93603516,45716.4672851562,90252.0375976562,42263.9555664062,35396.1547851562,57283.8032226562,63710.6000976562,56210.2094726562,43795.7641601562,41501.3696289062,78535.8110351562,57876.9829101562,6360058.43603516,6694966.43603516,13296184.9360352,4546349.43603516,8657158.93603516,2181565.93603516,30913.8461914062,317273.311035156,5092465.93603516,198025.857910156,110833.014160156,29443.2524414062,39099.1391601562,34702.4711914062,20845.7641601562,36968.0493164062,23710462.9360352,7344073.43603516,21444386.9360352,2662846.68603516,6479541.43603516,24954938.9360352,100800.482910156,78915.7563476562,287149.123535156,102658.279785156,126134.529785156,88241.7563476562,136697.717285156,105126.443847656,219326.920410156,126348.404785156,197258.561035156,30834946.9360352,6551330.93603516,13102143.9360352,8580315.93603516,23202848.9360352,17011978.9360352,98042.4594726562,92163.0219726562,171445.482910156,132569.795410156,85626.2016601562,186863.076660156,152491.092285156,289986.311035156,100420.459472656
"N-acetylputrescine",364.8642578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353.3525390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8476.2255859375,4394332.45214844,3327739.45214844,3313416.70214844,3632328.95214844,2257586.70214844,2811706.20214844,16500.6044921875,21286.3232421875,15923.9130859375,21136.8662109375,29291.5732421875,0,0,0,0,0,0,3491895.70214844,4865601.45214844,4302459.95214844,4211883.95214844,2274151.45214844,89555.8271484375,14594.7060546875,0,9366.0732421875
"N-acetylserotonin",5282012.32550049,19970960.8255005,7156745.32550049,16302605.8255005,17537974.8255005,7722102.32550049,10562681.8255005,13020497.8255005,8371818.32550049,14769871.8255005,8641464.82550049,12356980.8255005,22297312.8255005,33746522.8255005,30525856.8255005,34075902.8255005,25792704.8255005,14811695.8255005,6005974.82550049,7766559.32550049,17915292.8255005,8005503.82550049,18552366.8255005,11189651.8255005,14421271.8255005,9994385.82550049,13924137.8255005,8135013.32550049,13392957.8255005,29645922.8255005,14571989.8255005,7982954.32550049,18648148.8255005,9430364.82550049,18077912.8255005,12717033.8255005,23205344.8255005,34089658.8255005,10706210.8255005,25360282.8255005,26672416.8255005,27113424.8255005,26473098.8255005,19167528.8255005,22791774.8255005,26961654.8255005,30661694.8255005,40663342.8255005,36428538.8255005,43798178.8255005,13010917.8255005,17378128.8255005,29699108.8255005,28219810.8255005,15257160.8255005,12130823.8255005,29181778.8255005,33625942.8255005,32455090.8255005,42334222.8255005,33043580.8255005,40676686.8255005,92269402.8255005,13616189.8255005,11082029.8255005
"n-alpha-acetyl-asparagine",353323.503662109,224485.550537109,236842.581787109,180459.519287109,222343.894287109,301684.378662109,139010.441162109,220177.909912109,192699.675537109,163258.941162109,240431.909912109,230488.425537109,95111.6442871094,112234.136474609,91457.2536621094,88006.3005371094,101979.730224609,778487.816162109,266738.816162109,388939.909912109,241843.347412109,303959.597412109,322236.409912109,125573.534912109,81030.6442871094,260341.753662109,176758.925537109,174307.097412109,66892.7380371094,133292.081787109,164874.097412109,52441.8083496094,90375.5974121094,1882635.19116211,3014259.19116211,1340633.81616211,2742644.69116211,2268413.44116211,4225917.94116211,2053775.19116211,1454846.06616211,3182052.69116211,2863943.44116211,1172040.81616211,1768291.19116211,123295.120849609,138887.988037109,283051.191162109,163260.175537109,325745.659912109,541337.628662109,1205575.81616211,1097966.81616211,1412029.44116211,1465630.44116211,2772345.94116211,2488490.44116211,1627289.19116211,2359836.69116211,1276021.94116211,1429842.81616211,158488.316162109,439757.941162109,182557.863037109,100023.972412109
"N-trimethyllysine",429203.053710938,2075620.08496094,885404.709960938,372091.303710938,1814628.58496094,1686454.95996094,142590.897460938,346276.397460938,575766.459960938,178251.819335938,326203.772460938,534852.334960938,3565626.33496094,3474693.58496094,3922122.33496094,4445883.83496094,3983946.58496094,293465.084960938,437460.834960938,1213046.33496094,954754.084960938,403289.553710938,632488.459960938,141826.491210938,304002.178710938,285991.428710938,335194.491210938,1022158.64746094,157559.881835938,1982755.95996094,258392.553710938,479007.584960938,420504.897460938,18780781.8349609,20047235.8349609,10413523.8349609,18937029.8349609,57192369.8349609,7461796.83496094,898136.772460938,691651.772460938,3311715.33496094,934268.272460938,5063063.83496094,1060292.20996094,3314775.08496094,12805293.8349609,13594214.8349609,5455761.33496094,11133923.8349609,3821594.08496094,12090708.8349609,26901789.8349609,20402819.8349609,12293072.8349609,5350219.33496094,605156.522460938,736287.772460938,2914698.08496094,6291457.33496094,2016929.70996094,6845553.83496094,22663975.8349609,4529070.83496094,1651952.95996094
"NAD+",537928.554321289,650485.366821289,731513.929321289,242538.616821289,459989.616821289,1274719.61682129,116320.202758789,98901.7340087891,102249.273071289,118280.312133789,78653.8668212891,131481.241821289,534054.491821289,414887.366821289,551400.179321289,327856.585571289,819608.741821289,805351.679321289,366664.054321289,511018.116821289,610778.679321289,663905.366821289,377649.523071289,95029.6949462891,150824.179321289,399643.616821289,94027.0543212891,83046.9058837891,92966.2574462891,447290.054321289,231214.069946289,158267.694946289,220744.335571289,377903.616821289,462106.929321289,569806.054321289,333740.991821289,538164.554321289,1147805.99182129,4447318.86682129,6832393.86682129,4181504.86682129,4722349.86682129,2968369.86682129,3994753.11682129,1608487.11682129,642597.741821289,1442505.36682129,995139.304321289,1978953.61682129,284403.960571289,256933.554321289,249503.288696289,182995.476196289,512832.460571289,761581.991821289,5488625.86682129,6684858.86682129,6007889.36682129,7076013.36682129,3567778.36682129,1468234.74182129,2353853.86682129,2695201.11682129,590868.804321289
"nicotinamide",330713.776672363,426218.089172363,486502.120422363,89128.0657348633,145462.839172363,960050.370422363,929141.870422363,954035.870422363,1058467.37042236,1042009.87042236,2168727.87042236,1498642.37042236,1801026.24542236,751043.370422363,1200951.62042236,1045613.24542236,1714411.87042236,493663.620422363,93951.8235473633,309717.901672363,382612.182922363,481402.370422363,2956016.12042236,636677.120422363,627700.182922363,398671.870422363,809855.182922363,882687.995422363,940266.620422363,248008.573547363,160466.932922363,101630.479797363,232382.448547363,13952590.6204224,66294267.6204224,14858177.6204224,61309367.6204224,73367195.6204224,20973021.6204224,14417080.6204224,16132531.6204224,20840827.6204224,20145383.6204224,13437075.6204224,18601317.6204224,7632243.62042236,12244013.6204224,11648687.6204224,12058238.6204224,13965747.6204224,11703004.6204224,36406307.6204224,43098999.6204224,40894591.6204224,15312691.6204224,23641769.6204224,18707555.6204224,18714831.6204224,20311021.6204224,20057099.6204224,12071971.6204224,5057003.12042236,16868825.6204224,5215346.12042236,3273060.62042236
"nicotinamide mononucleotide",1860993.13427734,3805660.63427734,3943901.13427734,1339456.13427734,3387056.38427734,4662780.13427734,350064.696777344,749710.384277344,480463.821777344,447812.759277344,447858.384277344,830064.696777344,1059148.63427734,721703.134277344,1573939.25927734,1325609.50927734,1331483.50927734,2068619.38427734,1799465.50927734,4584660.13427734,1992322.88427734,2156252.13427734,1537103.13427734,533077.321777344,1317067.75927734,1380567.00927734,1060878.13427734,1484643.50927734,640333.071777344,1209214.88427734,396772.196777344,407828.603027344,394207.040527344,1103168.25927734,787847.071777344,1589892.88427734,598387.071777344,1242275.00927734,659765.446777344,293605.165527344,359614.446777344,686390.446777344,388068.009277344,462749.978027344,361096.446777344,1689993.00927734,2173789.88427734,1548787.63427734,833101.384277344,1953387.75927734,1333352.00927734,840988.134277344,1407466.25927734,1713505.25927734,1621665.75927734,759777.446777344,320619.384277344,365007.353027344,674941.634277344,697912.134277344,552641.071777344,3751949.13427734,997737.134277344,4042669.88427734,1818032.63427734
